name	street_address	postal_code	opening_date	latitude	longitude
3500 SW 21ST PLACE	3500 SW 21ST PLACE	97756	1994 	44.2728	-121.192
520 N JEFFERSON ST	520 N JEFFERSON ST	24901	1995 	37.8085	-80.4449
625 SCHOOL STREET	625 SCHOOL STREET	06260	1995 	41.9165	-71.8976
8118 PERRY HILLS ROAD	8118 PERRY HILLS ROAD	21236	1995 	39.3895	-76.4871
4133 VETERANS MEMORIAL DRIVE	4133 VETERANS MEMORIAL DRIVE	14020	1995 	42.9965	-78.1928
13245 LEE HWY	13245 LEE HWY	24202	1995 	36.6454	-82.1814
3000 FORD STREET EXTENSION	3000 FORD STREET EXTENSION	13669	1995 	44.6836	-75.4902
710 HORATIO ST	710 HORATIO ST	13502	1995 	43.1145	-75.2228
5783 SO. TRANSIT ROAD	5783 SO. TRANSIT ROAD	14094	1995 	43.1609	-78.6876
2291 NORTH SECOND STREET	2291 NORTH SECOND STREET	08332	1995 	39.3795	-75.0414
1607 WEST BETHANY HOME RD	1607 WEST BETHANY HOME RD	85015	1995 	33.5069	-112.103
891 ROUTE #9	891 ROUTE #9	12804	1995 	43.3305	-73.6782
4000 NEW BOSTON ROAD	4000 NEW BOSTON ROAD	75501	1995 	33.4147	-94.0898
100 SUPERCENTER DRIVE	100 SUPERCENTER DRIVE	16830	1995 	41.0262	-78.4384
1301 SW 37TH STREET	1301 SW 37TH STREET	66611	1995 	39.0161	-95.6979
8709 J W CLAY BLVD	8709 J W CLAY BLVD	28262	1995 	35.3213	-80.7405
139 MERCHANT PLACE	139 MERCHANT PLACE	12043	1995 	42.6969	-74.5244
801 JAMES MADISON HWY	801 JAMES MADISON HWY	22701	1995 	38.4595	-77.9988
5450 NEW HOPE COMMONS DRIVE	5450 NEW HOPE COMMONS DRIVE	27707	1995 	35.964	-78.936
780 LYNNWAY	780 LYNNWAY	01905	1995 	42.4642	-70.9735
1601 SOUTH COLUMBUS BLVD	1601 SOUTH COLUMBUS BLVD	19148	1995 	39.9198	-75.158
300-344 NORTH BROADWAY	300-344 NORTH BROADWAY	03079	1995 	42.788	-71.2177
2601 MACARTHUR ROAD	2601 MACARTHUR ROAD	18052	1995 	40.6518	-75.4922
710 DENNERY ROAD	710 DENNERY ROAD	92154	1995 	32.5744	-117.056
12555 WEST SUNRISE BLVD	12555 WEST SUNRISE BLVD	33323	1995 	26.1569	-80.3141
525 ALFRED STREET	525 ALFRED STREET	04005	1995 	43.4833	-70.4638
750 MIDDLE COUNTRY ROAD	750 MIDDLE COUNTRY ROAD	11953	1995 	40.8863	-72.9552
200 OTIS STREET	200 OTIS STREET	01532	1995 	42.3186	-71.6447
1869 PLAZA DRIVE	1869 PLAZA DRIVE	14760	1995 	42.0766	-78.4274
4501 ROSEWOOD DRIVE	4501 ROSEWOOD DRIVE	94588	1995 	37.6897	-121.892
317 SO. CASCADE DRIVE	317 SO. CASCADE DRIVE	14141	1995 	42.5162	-78.6894
101 NASSAU PARK BLVD	101 NASSAU PARK BLVD	08543	1995 	40.3499	-74.6591
2144 WEST INDIAN TOWN ROAD	2144 WEST INDIAN TOWN ROAD	33458	1995 	26.928	-80.118
3382 MURPHY CANYON ROAD	3382 MURPHY CANYON ROAD	92123	1995 	32.8038	-117.136
1180 FALL RIVER AVENUE	1180 FALL RIVER AVENUE	02771	1995 	41.8381	-71.3246
701 SOUTH ROUTE 11/15	701 SOUTH ROUTE 11/15	17870	1995 	40.812	-76.8614
4855 KIETZKE LANE	4855 KIETZKE LANE	89502	1995 	39.4999	-119.775
5800 KINGSTOWNE BLVD	5800 KINGSTOWNE BLVD	22315	1995 	38.7579	-77.1528
4900 U.S. HWY #9	4900 U.S. HWY #9	07731	1995 	40.151	-74.2148
3500 HWY 101	3500 HWY 101	98362	1995 	48.0971	-123.406
715 EAST 78TH STREET	715 EAST 78TH STREET	55420	1995 	44.838	-93.2766
27470 ALICIA PKWY	27470 ALICIA PKWY	92677	1995 	33.5319	-117.703
7250 SO UNION PARK AVE	7250 SO UNION PARK AVE	84047	1995 	40.615	-111.887
3270 TELEGRAPH ROAD	3270 TELEGRAPH ROAD	63125	1995 	38.5241	-90.2895
5420 FOREST DRIVE	5420 FOREST DRIVE	29206	1995 	34.0376	-80.9602
26502 TOWNE CENTER DRIVE	26502 TOWNE CENTER DRIVE	92610	1995 	33.6855	-117.667
2021 EAST INDEPENDENCE	2021 EAST INDEPENDENCE	65804	1995 	37.1613	-93.2519
333 MAIN STREET	333 MAIN STREET	01876	1995 	42.6042	-71.2244
777 BROCKTON AVENUE	777 BROCKTON AVENUE	02351	1995 	42.1175	-70.9548
555 HUBBARD AVE./SUITE 12	555 HUBBARD AVE./SUITE 12	01201	1995 	42.4534	-73.2531
373 BENNER PIKE	373 BENNER PIKE	16801	1995 	40.792	-77.8499
7400 GUILFORD DRIVE	7400 GUILFORD DRIVE	21704	1995 	39.3634	-77.3785
5815 ROME TABERG ROAD	5815 ROME TABERG ROAD	13440	1995 	43.2171	-75.4553
2523 LEE BLVD.	2523 LEE BLVD.	33971	1995 	26.606	-81.703
8923 W. MILITARY DRIVE	8923 W. MILITARY DRIVE	78245	1995 	29.4123	-98.7048
440 NORTH EUCLID STREET	440 NORTH EUCLID STREET	92801	1995 	33.8448	-117.954
3333 US ROUTE 60	3333 US ROUTE 60	25705	1995 	38.4107	-82.37
705 COLLEGE BLVD	705 COLLEGE BLVD	92057	1995 	33.2409	-117.299
17 COLBY COURT	17 COLBY COURT	03110	1995 	42.9451	-71.5178
2010 KILDAIRE FARM ROAD	2010 KILDAIRE FARM ROAD	27511	1995 	35.7557	-78.7751
6205 BALTIMORE NATIONAL PIKE	6205 BALTIMORE NATIONAL PIKE	21228	1995 	39.2781	-76.74
1601 N.W. LOUISIANA AVE	1601 N.W. LOUISIANA AVE	98532	1995 	46.6307	-123.016
3430 HIGHLAND AVENUE	3430 HIGHLAND AVENUE	45213	1995 	39.1809	-84.4188
17150 EAST GALE AVENUE	17150 EAST GALE AVENUE	91745	1995 	34.0006	-117.969
3722 EASTON-NAZARETH ROAD	3722 EASTON-NAZARETH ROAD	18045	1995 	40.6815	-75.2672
55 S WHITE HORSE PIKE	55 S WHITE HORSE PIKE	08037	1995 	39.6348	-74.7945
87 AIRPORT RD	87 AIRPORT RD	18201	1995 	40.9584	-75.9852
200 NORTH COOPER ROAD	200 NORTH COOPER ROAD	27536	1995 	36.3407	-78.3943
13484 NORTHWEST FREEWAY	13484 NORTHWEST FREEWAY	77040	1995 	29.8783	-95.5334
7910 RICHMOND HIGHWAY	7910 RICHMOND HIGHWAY	22306	1995 	38.7572	-77.0867
1150 EAST IDAHO ST	1150 EAST IDAHO ST	59901	1995 	48.2014	-114.322
5054 STATE HWY 23	5054 STATE HWY 23	13820	1995 	42.4698	-75.0519
233 SHOEMAKER RD	233 SHOEMAKER RD	19464	1995 	40.2535	-75.6348
3950 GRANDVIEW DR	3950 GRANDVIEW DR	29681	1995 	34.7627	-82.2451
8585 PEARL ROAD	8585 PEARL ROAD	44136	1995 	41.3128	-81.832
137 WEST BOYLSTON RD	137 WEST BOYLSTON RD	01583	1995 	42.3607	-71.7864
1600 EAST CHESTNUT AVENUE	1600 EAST CHESTNUT AVENUE	98901	1995 	46.6162	-120.465
1244 EAST GREEN BAY	1244 EAST GREEN BAY	54166	1995 	44.7792	-88.6064
2775 DORCHESTER SQUARE	2775 DORCHESTER SQUARE	21613	1995 	38.5453	-76.0912
5323 EAST COURT ST NORTH	5323 EAST COURT ST NORTH	48509	1995 	43.0202	-83.6043
200 S.W. 12TH ST	200 S.W. 12TH ST	55025	1995 	45.2721	-92.9911
5720 COLLEGE CORNER PIKE	5720 COLLEGE CORNER PIKE	45056	1995 	39.4988	-84.7407
333 BOYD BLVD	333 BOYD BLVD	46350	1995 	41.6057	-86.7198
323 WEST SHAW AVENUE	323 WEST SHAW AVENUE	93612	1995 	36.8135	-119.708
1900 KEYSTONE DRIVE	1900 KEYSTONE DRIVE	16509	1995 	42.0741	-80.0693
6721 CHESAPEAKE CENTER DRIVE	6721 CHESAPEAKE CENTER DRIVE	21060	1995 	39.1622	-76.5944
600 SHOWERS DRIVE	600 SHOWERS DRIVE	94040	1995 	37.3802	-122.088
2351 CENTURY DRIVE	2351 CENTURY DRIVE	15122	1995 	40.3662	-79.8942
1173 TIOGUE AVENUE	1173 TIOGUE AVENUE	02816	1995 	41.6918	-71.5708
161 CENTEREACH MALL	161 CENTEREACH MALL	11720	1995 	40.8689	-73.0801
2501 WEST STATE STREET	2501 WEST STATE STREET	16101	1995 	40.992	-80.3275
80 RIO RANCHO ROAD	80 RIO RANCHO ROAD	91766	1995 	34.0456	-117.753
210 NORTHSIDE DRIVE	210 NORTHSIDE DRIVE	05201	1995 	42.8827	-73.1842
75 N BROADWAY	75 N BROADWAY	91910	1995 	32.6387	-117.067
952 SWEDE GULCH ROAD	952 SWEDE GULCH ROAD	80401	1995 	39.7357	-105.193
5710 MCFARLAND BLVD	5710 MCFARLAND BLVD	35476	1995 	33.2277	-87.5882
11327 SO JORDAN GATEWAY ROAD	11327 SO JORDAN GATEWAY ROAD	84095	1995 	40.5616	-111.961
8288 CINCINNATI DAYTON ROAD	8288 CINCINNATI DAYTON ROAD	45069	1995 	39.3438	-84.4025
3051 KENZEL ROAD	3051 KENZEL ROAD	37924	1995 	36.03	-83.8071
2800 WALMART DRIVE	2800 WALMART DRIVE	46750	1995 	40.8723	-85.4906
9440 STATE ROUTE #14	9440 STATE ROUTE #14	44241	1995 	41.2494	-81.344
321 NE KINGS VALLEY HWY	321 NE KINGS VALLEY HWY	97338	1995 	44.9208	-123.334
